Tent ID | Dropbox #,# of Residents UNDER 18 yr.,# of Residents OVER 18 yr.,# of Tent Residents,sex,date_of_birth,HH1 Occupation,HH1 Occupation - Other,HH2 Sex,HH2 Age,HH2 Occupation,HH2 Occupation - Other,Full Time Resident 1 Relationship,Age,Sex,Occupation,Full Time Resident 2 Relationship,Age,Sex,Occupation,Full Time Resident 3 Relationship,Age,Sex,Occupation,Full Time Resident 4 Relationship,Age,Sex,Occupation,Full Time Resident 5 Relationship,Age,Sex,Occupation,Full Time Resient 6 Relationship,Age,Sex,Occupation,Full Time Resident 7 Relationship,Age,Sex,Full Time Resident 8 Relationship,Age,Sex,Occupation,Full Time Resident 9 Relationship,Age,Sex,Occupation,Full Time Resident 10 Relationship,Age,Sex,Full Time Resident 11 Relationship,Age,Sex,Occupation,Last Name,First Name,Full Time Resident 12 Relationship,Age,Sex,Occupation,Full Time Resident 13 Relationship,Age,Sex,Occupation,Full Time  Resident 14 Relationship,Age,Sex,Occupation,Full Time Resident 15 Relationship,Age,Sex,Occupation
31,2,1,3,M,28,,,,,N/A,,Daughter,10,F,Student,Daughter,6,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,2,3,F,23,Vendor,,,,,,Mother,47,F,Vendor,Nephew,16,M,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4,2,6,F,30,Other,Housewife,M,38,Contracted Worker,,Son,14,M,Student,Son,12,M,Student,Son,8,M,Student,Son,2,M,Nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4,2,6,F,30,,,M,37,Agriculture/Fish,,Son,14,M,Student,Son,11,M,Student,Son,7,M,Student,Son,1.5,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,2,3,F,37,Other,Activist USAID,F,64,,,Daughter,9,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,3,4,M,33,Contracted Worker,,F,37,Laundry/Housekeeper,,Son,13,M,Student,Niece,22,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,2,3,F,41,Vendor,,,,,,Son,17,M,Student,Daughter,21,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2,2,4,M,27,Salesman,,F,29,Saleswoman,,Daughter,1,F,,Son,2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,1,3,F,30,Saleswoman,,,,N/A,,Son,6,M,Student,Daughter,1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2,2,4,F,37,Vendor,,M,38,Vendor,,Daughter,11,F,Student,Son,4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,M,35,Contracted Worker,,F,33,Laundry/Housekeeper,,Mother,65,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3,3,6,M,45,Vendor,,F,37,Laundry/Housekeeper,,Daughter,16,F,Vendor,Son,12,M,Student,Son,6,M,Nothing,Daughter,21,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5,3,8,F,51,Housekeeper,,M,57,Agriculture,,GRandson,10,M,Student,Granddaughter,8,F,Student,Grandson,5,M,,Grandson,3,M,,Grandson,1,M,,Daughter,30,F,Housekeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,F,,Vendor,,M,,Contracted Worker,,Son,7,M,Student,Son,3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2,2,4,F,23,,,M,25,Agriculture/Fish,,Daughter,2,F,,Son,1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,1,2,F,26,Laundry/Housekeeper,,,,,,Daughter,2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,4,2,6,M,34,Vendor,,F,28,Other,works in a pupuseria,Son,14,M,Student,Son,12,M,Student,Daughter,6,F,Student,Son,5,M,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,3,1,4,F,36,Laundry/Housekeeper,,,,,,Son,15,M,Student,Daughter,11,F,Student,Daughter,7,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2,4,6,F,50,Other,Dressmaking,M,52,Paid Consistent Job,Security,Daughter,16,F,Student,Granddaughter,2,F,,Daughter,25,F,Housekeeper/Laundry,Son,19,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2,2,4,M,35,Contracted Worker,,,38,Laundry/Housekeeper,,Daughter,9,F,Student,Son,1,M,Nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2,1,3,F,28,Vendor,,,,,,Son,9,M,Student,Daughter,2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,1,2,F,27,Other,Dressmaking,,,,,Daughter,2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2,2,4,M,24,Contracted Worker,,F,25,Contracted Worker,Stylist,Son,6,M,Student,Son,2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4,1,5,F,35,Vendor,,,,,,Son,14,M,Student,Daughter,13,F,Student,Daughter,6,F,,Daughter,1 year,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2,2,4,M,36,Vendor,,F,29,,,Daughter,9,F,Student,Son,4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3,2,5,F,33,,,M,37,Paid Consistent Job,Cook in Guatemala,Son,14,M,Student,Son,6,M,Student,Daughter,2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2,3,5,M,36,Vendor,,F,32,Laundry/Housekeeper,,Son,3,M,Nothing,Son,6,M,Student,Cousin,19,F,Contracted Worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,F,46,Paid Consistent Job,,,,,,Son,14,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,3,4,M,53,Contracted Worker,,F,52,Laundry/Housekeeper,,Son,14,M,Student,Son,24,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,2,,F,51,Laundry/Housekeeper,,,,,,Daughter,24,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,F,21,Vendor,,M,35,Vendor,,Daughter,3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3,3,6,F,40,Vendor,,M,43,Vendor,,Son,12,M,Student,Daughter,4,F,,Daughter,16,F,Nothing,Daughter,20,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3,3,6,M,59,guard at CEDAR,,F,35,,,Daughter,1,F,,Daughter,14,F,Student,Son,17,M,,Grandmother,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,3,4,M,42,Paid Consistent Job,Security,F,41,,,Son,14,M,Student,Daughter,20,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,F,38,Laundry/Housekeeper,,,,,,Daughter,21,F,Laundry/Housekeeper,Daughter,18,F,Childcare,Son,15,M,Student,Daughter,11,F,C.E. Arturo Romero,Son,3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2,2,4,F,20,Vendor,,,,,,Son,4,M,Nothing,Daughter,1.5,F,Nothing,Mother,40,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,3,4,F,38,,,,,,,Son,16,M,Student,Daughter,22,F,,Mother,55,F,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2,3,5,M,68,Agriculture/Fish,,F,68,,,Grandson,13,M,Student,Granddaughter,11,F,,Grandson,22,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,1,2,F,27,Vendor,,,,,,Son,12,M,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2,4,6,M,66,Small business outside or nearby the home,Hammocks,,,,,Granddaughter,2,F,,Grandson,3,M,,Son,27,M,Dressmaking,Daughter,26,F,Vendor,Daughter In Law,19,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,F,26,Vendor,,,,,,Daughter,10,F,Student,Son,3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,2,3,F,40,Vendor,,,,,,Daughter,19,F,Vendor,,1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,3,2,5,F,32,Laundry/Housekeeper,,M,33,Paid Consistent Job,Security Guard,Son,1,M,Nothing,Son,11,M,Student,Son,7,M,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,F,43,Vendor,,,,,,,6,M,Student,Daughter,26,F,Vendor,Daughter,24,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,2,3,M,28,Contracted Worker,,F,25,,,Daughter,8,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1,1,2,F,28,Vendor,,,,,,Son,8,M,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,3,2,5,F,31,Laundry/Housekeeper,,M,41,Agriculture/Fish,,Son,12,M,Student,Daughter,7,F,Student,Daughter,3,F,Nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1,2,3,M,45,Contracted Worker,,F,37,,,Son,6,M,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,3,2,5,M,38,Contracted Worker,,F,36,Other,Cleans the streets,Son,15,M,Student,Daughter,9,F,Student,Son,4,M,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2,1,3,F,38,Laundry/Housekeeper,,,,,,Daughter,14,F,Student,Daughter,5,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1,2,3,M,26,Other,Driver,F,25,Laundry/Housekeeper,,Daughter,5,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2,1,3,F,34,Laundry/Housekeeper,,,,,,Son,11,M,Student,Daughter,4,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4,2,6,M,30,Paid Consistent Job,Wine Producer,F,26,Vendor,,Daughter,8,F,Student,Son,5,M,Student,Daughter,3,,,Son,1.5,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,2,3,F,29,Laundry/Housekeeper,,M,30,Other,Driver,Daughter,10,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2,2,4,F,41,Other,,M,29,Contracted Worker,,Son,13,M,Student,Daughter,6,F,Nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,4,2,6,F,35,Contracted Worker,,M,45,Laundry/Housekeeper,,Daughter,17,F,,Daughter,14,F,Student,Son,7,M,Student,Daughter,1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,4,5,M,45,Contracted Worker,,F,77,Other,Pension,Nephew,15,M,Student,Niece,20,F,Nothing,Nephew,22,M,Contracted Worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,F,42,Laundry/Housekeeper,,,,,,Son,20,M,,Son,17,M,,Daughter,15,F,,Daughter,11,,,Son,6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0,3,3,M,32,Family Provides,,F,71,Family Provides,,Tío,50,M,Agriculture/Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,M,48,Vendor,,,,,,Son,17,M,,Daughter,2,F,,Daughter,6,F,Student,Son,19,M,,Daughter,22,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2,2,4,F,34,Vendor,,M,47,Other,Mechanic,Daughter,14,F,Student,Daughter,7,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1,,3,M,,Contracted Worker,,,21,,,son,10,M,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,F,19,Vendor,,F,40,Vendor,,Daughter,1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2,2,4,F,31,,,M,34,Contracted Worker,,Son,15,M,Student,Son,11,M,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2,2,4,M,33,Paid Consistent Job,Police,F,32,,,Daughter,11,F,Student,son,7,M,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2,2,4,M,32,Paid Consistent Job,Police,F,24,,,Son,6,M,Student,Daughter,1.5,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2,2,4,M,36,Paid Consistent Job,Police,F,36,,,Son,12,M,Student,Daughter,7,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,M,35,Paid Consistent Job,Police,,,,,Grandfather,84,M,,Grandmother,72,F,,Aunt,40,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,3,3,6,F,34,Paid Consistent Job,Works in a factory,,,,,Daughter,15,F,Student,Son,10,M,Student,Son,6,M,Student,Son,18,M,,Grandmother,63,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,1,2,F,23,Vendor,,,,,,Son,3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1,2,3,M,40,Contracted Worker,,F,30,Vendor,,Son,4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2,1,3,F,38,Vendor,,,,,,Daughter,15,F,Student,Son,11,M,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,3,1,4,F,37,Vendor,,,,,,Daughter,12,F,Student,Daughter,7,F,Student,Son,2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2,2,4,M,30,Taxi Driver,,F,30,Vendor,,Daughter,12,F,Student,Daughter,2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1,4,5,M,49,Professor,,F,38,Vendor,,Son,23,M,Student,Daughter,20,F,,Grandchild,1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,3,2,5,M,41,Military,,F,31,Military,,Son,16,M,,Daughter,11,F,Student,Son,2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2,1,3,F,29,Factory Worker,,,,,,Son,10,M,Student,Daughter,4,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,3,2,5,F,35,Laundry/ Housekeeping,,,,,,Daughter,16,F,Student,Daughter,11,F,Student,Son,3,M,,Grandmother,55,F,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,1,2,F,20,Cook,,,,,,Son,1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,5,4,9,F,59,,,,,,,Daughter,6,F,Student,Daughter,9,F,Student,Son,3,M,,Daughter,15,F,Student,Son,1,M,,Aunt,29,F,Housekeeper,Uncle,27,M,Wife of Jose,28,F,home maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2,1,3,F,38,,,,,,,Son,12,M,Student,Son,15,M,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2,5,7,F,49,,,M,50,,,Grandson,8,M,Student,Granddaughter,1,F,,Son,28,M,English System technician,Son,23,M,Works in Town Hall,Daughter in law,28,F,Home Maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,1,1,2,F,44,"household worker, cook",,,,,,daughter,9,F,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1,4,5,F,61,artisan,,,,,,,2,F,,Grandson,22,M,Student,Grandson,19,M,student,Grandson,20,M,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,1,2,3,F,21,household worker,,M,48,varios,,,3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1,2,3,F,53,stay at home mother,,,,,,,10,,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2,2,4,F,42,household worker,,,,,,,16,M,student,,13,M,student,daughter,20,F,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,3,2,5,F,35,stay at home mother,,M,45,security,,,17,F,student,,16,F,student,,12,M,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1,2,3,F,47,merchant,,M,21,merchant,,,8,F,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1,2,3,F,20,domestic work,,M,24,vendor/salesman,,,1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2,1,3,F,31,has a store and cooks food to sell,,,,,,,16,M,student,,15,F,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2,2,4,F,35,cook,,,,,,,16,M,student,,5,F,student,grandmother,48,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,3,2,5,F,27,stay at home mother,household worker,M,26,security,,,5,F,student,,4 months,M,,sister in law,16,F,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2,3,5,F,39,fruit vendor,,M,54,security,,,11,M,student,,6,M,student,oldest son,23,M,works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1,2,3,M,25,soldier,,F,20,housewife,,,1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,3,1,4,F,31,machine worker,,,,,,,10,,student,,6,,student,,10 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2,2,4,F,30,works in a factory,,M,30,motorist,,,11,F,student,,7,F,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
